X,Y,OBJECTID,TRADE_NAME,LICENCE_NUMBER,licence_status,ISSUED_DATE,Covers_FROM,Covers_TO,LICENCE_TYPE_NAME,naics_description,trade_description,MailingAddress,gislink,legal_id,AMOUNT,CIVIC_UNIT,CIVIC_HOUSE,CIVIC_STREET,CIVIC_ADDRESS,Neighbourhood
472618.5023,5365231.8666,1, 1UP VICTORIA SINGLE PARENT RESOURCE CENTRE,00044553,APPROVED,20231120,20240101,20241231,NON PROFIT SOCIETY - GENERAL,"Other services (exc. Public administration) / Religious, grant-making, civic & similar orgs / Social advocacy organizations",NON PROFIT SOCIETY - GENERAL,"602 GORGE ROAD EAST
VICTORIA BC  V8T 2W6",10728009,1920020328210615720000,0,,602,GORGE RD E,"602 GORGE RD E
VICTORIA BC  V8T 2W6",BURNSIDE
472618.5023,5365231.8666,2,VICTORIA SINGLE PARENT RESOURCE,00044511,APPROVED,20231120,20240101,20241231,NON PROFIT SOCIETY - GENERAL,"Other services (exc. Public administration) / Religious, grant-making, civic & similar orgs / Social advocacy organizations",NON PROFIT SOCIETY - GENERAL,"602 GORGE ROAD EAST
VICTORIA BC  V8T 2W6",10728009,1920020328210615720000,0,,602,GORGE RD E,"602 GORGE RD E
VICTORIA BC  V8T 2W6",BURNSIDE
472866.814,5363465.3017,3,STARLITE SOAP STUDIO,00044933,APPROVED,20240206,20240101,20241231,RETAIL - GENERAL,Retail trade / Misc. store retailers,RETAIL - GENERAL,"B-622 COURTNEY ST
VICTORIA BC  V8W 1C1",01035001,092720020920133032200000,100,,622,COURTNEY ST,"622 COURTNEY ST
VICTORIA BC  V8W 1C1",DOWNTOWN
476120.2922,5364409.4336,4, DR G HARGROVE,8027,APPROVED,20231208,20240101,20241231,PROFESSIONAL - PHYSICIAN,Health care & social assistance / Ambulatory health care services / Offices of physicians,PROFESSIONAL - PHYSICIAN,"203-1990 FORT ST
VICTORIA BC  V8R 6V4",06396093,079420020919112109230000,100,203,1990,FORT ST,"203-1990 FORT ST
VICTORIA BC  V8R 6V4",NORTH JUBILEE
476120.2922,5364409.4336,5, DR MARK LUPIN,7515,APPROVED,20231208,20240101,20241231,PROFESSIONAL - PHYSICIAN,Health care & social assistance / Ambulatory health care services / Offices of physicians,PROFESSIONAL - PHYSICIAN,"207-1990 FORT ST
VICTORIA BC  V8R 6V4",06396093,079420020919112109340000,100,207,1990,FORT ST,"207-1990 FORT ST
VICTORIA BC  V8R 6V4",NORTH JUBILEE
472884.2551,5363623.1854,6, DR TODD REGNIER,5520,APPROVED,20231206,20240101,20241231,PROFESSIONAL - DENTIST,Health care & social assistance / Ambulatory health care services / Offices of dentists,PROFESSIONAL - DENTIST,"115-1150 DOUGLAS ST
VICTORIA BC  V8W 3M9",01039012,093920020920150005650000,100,115,1150,DOUGLAS ST,"115-1150 DOUGLAS ST
VICTORIA BC  V8W 3M9",DOWNTOWN
475315.0824,5365069.9004,7,KINGS ROAD FAMILY DENTISTRY,00047275,APPROVED,20240712,20240618,20241231,PROFESSIONAL - DENTIST,Health care & social assistance / Ambulatory health care services / Offices of dentists,PROFESSIONAL - DENTIST,"1-2710 SHELBOURNE ST
VICTORIA BC  V8R 4M2",08563013,88453C081219161026960000,100,1,2710,SHELBOURNE ST,"1-2710 SHELBOURNE ST
VICTORIA BC  V8R 4M2",OAKLANDS
472677.8561,5366012.794,8,ENERGY ONE,00040982,APPROVED,20240112,20240101,20241231,RETAIL - GENERAL,Retail trade / Misc. store retailers,RETAIL - GENERAL,"342-3147 DOUGLAS ST
VICTORIA BC  V8Z 6E3",V06841008,62094C170119083427580000,100,342,3147,DOUGLAS ST,"342-3147 DOUGLAS ST
VICTORIA BC  V8Z 6E3",BURNSIDE
471721.7921,5364754.6401,9,GEOTEKNICA,00045136,APPROVED,20231208,20240101,20241231,COMPUTER SERVICES - MANUFACTURING,Manufacturing / Computer & electronic product mfg. / Communications equipment mfg.,COMPUTER SERVICES - MANUFACTURING,"730 TYEE RD
VICTORIA BC  V9A 6X3",12826005,1920020328213921550000,100,,730,TYEE RD,"730 TYEE RD
VICTORIA BC  V9A 6X3",VICTORIA WEST
473068.576,5365076.0005,10,MEET ON BLANSHARD,00042861,APPROVED,20231120,20240101,20241231,RESTAURANT W/FOOD PRIMARY LIQUOR LIC. - GENERAL,Accommodation & food services / Food services & drinking places / Full-serv. rest. & limited-serv. eating place,RESTAURANT W/FOOD PRIMARY LIQUOR LIC. - GENERAL,"1788 WEST 49TH AVE
VANCOUVER BC  V6M 2S5",09696071,144120020926153154390000,200,10,797,HILLSIDE AVE,"10-797 HILLSIDE AVE
VICTORIA BC  V8T 1Z5",BURNSIDE
